time_identifier,year_breakdown,time_period,geographic_level,country_code,country_name,school_type,characteristic_group,characteristic,enrolments,sess_possible,sess_overall,sess_authorised,sess_unauthorised,sess_overall_percent,sess_authorised_percent,sess_unauthorised_percent,enrolments_pa_10_exact,enrolments_pa_10_exact_percent,sess_possible_pa_10_exact,sess_overall_pa_10_exact,sess_authorised_pa_10_exact,sess_unauthorised_pa_10_exact,sess_overall_percent_pa_10,sess_authorised_percent_pa_10_exact,sess_unauthorised_percent_pa_10_exact,sess_auth_illness,sess_auth_appointments,sess_auth_religious,sess_auth_study,sess_auth_traveller,sess_auth_holiday,sess_auth_ext_holiday,sess_auth_excluded,sess_auth_other,sess_auth_totalreasons,sess_unauth_holiday,sess_unauth_late,sess_unauth_other,sess_unauth_noyet,sess_unauth_totalreasons,sess_overall_totalreasons
Academic year,six half terms,201819,National,E92000001,England,Total,Total,Total,7105958,2522300237,119207289,83570764,35636525,4.72613,3.31328,1.41286,771863,10.86219,245677269,46824152,27473608,19350544,19.05921,11.1828,7.87641,62028416,7023954,1284288,713116,259678,1673684,:,2049972,7588162,82621270,10265362,1812826,21845078,1360377,35283643,117904913
Academic year,six half terms,201819,National,E92000001,England,Total,Gender,Gender male,3635950,1289601975,62013620,43558423,18455197,4.80874,3.37766,1.43108,404627,11.12851,128814757,24969212,14740857,10228355,19.38381,11.44345,7.94036,31730925,3554748,660434,369106,132542,868097,:,1498625,4233485,43047962,5176815,948718,11440700,702279,18268512,61316474
Academic year,six half terms,201819,National,E92000001,England,Total,Gender,Gender female,3470007,1232697886,57193669,40012341,17181328,4.63972,3.24592,1.3938,367236,10.58315,116862512,21854940,12732751,9122189,18.70141,10.8955,7.80592,30297491,3469206,623854,344010,127136,805587,:,551347,3354677,39573308,5088547,864108,10404378,658098,17015131,56588439
Academic year,six half terms,201819,National,E92000001,England,Total,Major ethnic groups,Ethnicity Major White Total,5220314,1865304736,90570232,63848144,26722088,4.85552,3.42293,1.43259,587234,11.24902,189078858,36888099,21807707,15080392,19.50937,11.53366,7.97572,48071224,5373287,115949,524763,250434,1276216,:,1564769,5859850,63036492,7508263,1319110,16655133,940935,26423441,89459933
Academic year,six half terms,201819,National,E92000001,England,Total,Minor ethnic groups,Ethnicity Minor White British,4700396,1684291422,81102938,57649641,23453297,4.81526,3.42278,1.39247,518394,11.02873,168236238,32945989,19727843,13218146,19.58317,11.72627,7.8569,43530206,4885768,51946,487396,92587,1138121,:,1452611,5293768,56932403,6641912,1201559,14558124,795460,23197055,80129458
Academic year,six half terms,201819,National,E92000001,England,Total,Minor ethnic groups,Ethnicity Minor Irish,19232,6792692,375639,261464,114175,5.53005,3.8492,1.68085,2769,14.39788,859339,176973,98724,78249,20.59408,11.48836,9.10572,187966,22358,466,3402,4813,4351,:,5805,29536,258697,19873,6736,80062,6215,112886,371583
Academic year,six half terms,201819,National,E92000001,England,Total,Minor ethnic groups,Ethnicity Minor Traveller of Irish heritage,6033,1849255,332424,175614,156810,17.9761,9.49647,8.47963,3730,61.82662,1069901,293306,149568,143738,27.41431,13.97961,13.4347,72713,7161,542,184,62105,1000,:,4911,25236,173852,12362,8159,128630,5719,154870,328722
Academic year,six half terms,201819,National,E92000001,England,Total,Minor ethnic groups,Ethnicity Minor Gypsy Roma,26751,8611946,1088485,527249,561236,12.63925,6.1223,6.51695,12557,46.9403,3794401,849297,386460,462837,22.3829,10.18501,12.19789,294992,30388,2303,1308,86897,4433,:,26280,68105,514706,79166,19307,436966,17258,552697,1067403
Academic year,six half terms,201819,National,E92000001,England,Total,Minor ethnic groups,Ethnicity Minor Any other white background,467902,163759421,7670746,5234176,2436570,4.68416,3.19626,1.4879,49784,10.63983,15118979,2622534,1445112,1177422,17.34597,9.55826,7.78771,3985347,427612,60692,32473,4032,128311,:,75162,443205,5156834,754950,83349,1451351,116283,2405933,7562767
Academic year,six half terms,201819,National,E92000001,England,Total,Major ethnic groups,Ethnicity Major Mixed Total,422734,149501604,7457190,5054845,2402345,4.98803,3.38113,1.6069,52325,12.37776,16593853,3142738,1742437,1400301,18.93917,10.5005,8.43867,3695244,415450,86759,41612,1162,98531,:,159512,515154,5013424,524834,180567,1581243,98234,2384878,7398302
Academic year,six half terms,201819,National,E92000001,England,Total,Minor ethnic groups,Ethnicity Minor White and Black Caribbean,110806,38989586,2365449,1484622,880827,6.06687,3.80774,2.25913,19049,17.19131,6061415,1193705,618883,574822,19.6935,10.21021,9.4833,1087569,117473,2441,9762,300,19639,:,70321,168447,1475952,141373,73289,628369,33775,876806,2352758
Academic year,six half terms,201819,National,E92000001,England,Total,Minor ethnic groups,Ethnicity Minor White and Black African,57869,20420841,926829,639655,287174,4.53864,3.13236,1.40628,6220,10.74841,1938331,360125,205572,154553,18.57913,10.60562,7.97351,466024,54081,10135,4466,153,11387,:,20550,65384,632180,63024,21419,186601,12637,283681,915861
Academic year,six half terms,201819,National,E92000001,England,Total,Minor ethnic groups,Ethnicity Minor White and Asian,99284,35481782,1583089,1133155,449934,4.4617,3.19362,1.26807,9698,9.76794,3107268,583082,339173,243909,18.7651,10.91547,7.84963,830412,92368,33026,11837,220,27990,:,22108,105177,1123138,128102,27934,273285,16887,446208,1569346
Academic year,six half terms,201819,National,E92000001,England,Total,Minor ethnic groups,Ethnicity Minor Any other Mixed background,154775,54609395,2581823,1797413,784410,4.7278,3.2914,1.4364,17358,11.21499,5486839,1005826,578809,427017,18.33161,10.54904,7.78257,1311239,151528,41157,15547,489,39515,:,46533,176146,1782154,192335,57925,492988,34935,778183,2560337
Academic year,six half terms,201819,National,E92000001,England,Total,Major ethnic groups,Ethnicity Major Asian Total,769407,272717069,11978185,8434992,3543193,4.39217,3.09295,1.29922,70061,9.10584,22689514,3583974,2138785,1445189,15.79573,9.42631,6.36941,6016175,648288,777925,87412,282,169811,:,100392,582729,8383014,1539825,126943,1714374,143356,3524498,11907512
Academic year,six half terms,201819,National,E92000001,England,Total,Minor ethnic groups,Ethnicity Minor Indian,214330,75884128,2728149,2032351,695798,3.59515,2.67823,0.91692,12982,6.05701,4033187,622810,396702,226108,15.44213,9.83594,5.60619,1482557,161936,99009,33236,76,61040,:,11540,166751,2016145,355896,23275,282948,25859,687978,2704123
Academic year,six half terms,201819,National,E92000001,England,Total,Minor ethnic groups,Ethnicity Minor Pakistani,306267,108798804,5537773,3712904,1824869,5.08992,3.41263,1.67729,36535,11.92913,12092528,1919409,1095754,823655,15.87269,9.06141,6.81127,2599046,275751,443743,27939,111,54235,:,60622,232354,3693801,800706,62341,883658,72392,1819097,5512898
Academic year,six half terms,201819,National,E92000001,England,Total,Minor ethnic groups,Ethnicity Minor Bangladeshi,120108,42809042,1997824,1430489,567335,4.66683,3.34156,1.32527,11584,9.64465,3837743,600167,365506,234661,15.63854,9.52398,6.11456,1053570,103442,147387,7798,32,18047,:,16295,75774,1422345,198091,22200,321636,22724,564651,1986996
Academic year,six half terms,201819,National,E92000001,England,Total,Minor ethnic groups,Ethnicity Minor Any other Asian background,128702,45225095,1714439,1259248,455191,3.7909,2.7844,1.0065,8960,6.96182,2726056,441588,280823,160765,16.19879,10.30144,5.89735,881002,107159,87786,18439,63,36489,:,11935,107850,1250723,185132,19127,226132,22381,452772,1703495
Academic year,six half terms,201819,National,E92000001,England,Total,Major ethnic groups,Ethnicity Major Black Total,405555,141824742,4855721,3338507,1517214,3.42375,2.35397,1.06978,28581,7.04738,8451105,1508020,851516,656504,17.84406,10.07579,7.76826,2278831,324389,148004,33791,258,58973,:,147012,332465,3323723,300677,123102,983179,104393,1511351,4835074
Academic year,six half terms,201819,National,E92000001,England,Total,Minor ethnic groups,Ethnicity Minor Black Caribbean,78602,27427586,1356960,863579,493381,4.94743,3.14858,1.79885,10423,13.26048,3258429,597845,316397,281448,18.34765,9.71011,8.63754,601678,76001,3020,9049,76,13702,:,55521,102349,861396,71517,50255,338933,31456,492161,1353557
Academic year,six half terms,201819,National,E92000001,England,Total,Minor ethnic groups,Ethnicity Minor Black African,272264,95317504,2785576,2002531,783045,2.92242,2.10091,0.82151,13540,4.97311,3822224,659930,400556,259374,17.2656,10.47966,6.78594,1350025,203872,132518,20915,120,35941,:,71074,178734,1993199,181484,52038,486769,59203,779494,2772693
Academic year,six half terms,201819,National,E92000001,England,Total,Minor ethnic groups,Ethnicity Minor Any other black background,54689,19079652,713185,472397,240788,3.73794,2.47592,1.26201,4618,8.44411,1370452,250245,134563,115682,18.26003,9.81888,8.44116,327128,44516,12466,3827,62,9330,:,20417,51382,469128,47676,20809,157477,13734,239696,708824
Academic year,six half terms,201819,National,E92000001,England,Total,Major ethnic groups,Ethnicity Major Chinese,30355,10732862,245518,184401,61117,2.28754,1.7181,0.56944,838,2.76067,232103,38561,25664,12897,16.61374,11.05716,5.55658,119437,22293,945,4988,10,13183,:,885,20810,182551,36950,2846,17923,2452,60171,242722
