"old_la_code","new_la_code","la_name","urn","schname","measure","value"
202,"E09000007","Camden",136807,"St Luke's Church of England School","nftype","F"
202,"E09000007","Camden",136807,"St Luke's Church of England School","ptfsm6cla1a","21%"
202,"E09000007","Camden",136807,"St Luke's Church of England School","ptnotfsm6cla1a","79%"
202,"E09000007","Camden",136807,"St Luke's Church of England School","tealgrp2","7"
202,"E09000007","Camden",136807,"St Luke's Church of England School","telig","14"
202,"E09000007","Camden",136807,"St Luke's Church of England School","tfsm6cla1a","3"
202,"E09000007","Camden",136807,"St Luke's Church of England School","tks1average","17.0"
202,"E09000007","Camden",136807,"St Luke's Church of England School","tnotfsm6cla1a","11"
202,"E09000007","Camden",136807,"St Luke's Church of England School","tsenele","2"
202,"E09000007","Camden",136807,"St Luke's Church of England School","tsenelk","2"
203,"E09000011","Greenwich",143209,"Timbercroft Primary School","nftype","ACC"
203,"E09000011","Greenwich",143209,"Timbercroft Primary School","ptfsm6cla1a","34%"
203,"E09000011","Greenwich",143209,"Timbercroft Primary School","ptnotfsm6cla1a","66%"
203,"E09000011","Greenwich",143209,"Timbercroft Primary School","tealgrp2","21"
203,"E09000011","Greenwich",143209,"Timbercroft Primary School","telig","58"
203,"E09000011","Greenwich",143209,"Timbercroft Primary School","tfsm6cla1a","20"
203,"E09000011","Greenwich",143209,"Timbercroft Primary School","tks1average","17.5"
203,"E09000011","Greenwich",143209,"Timbercroft Primary School","tnotfsm6cla1a","38"
203,"E09000011","Greenwich",143209,"Timbercroft Primary School","tsenele","1"
203,"E09000011","Greenwich",143209,"Timbercroft Primary School","tsenelk","5"
203,"E09000011","Greenwich",143210,"Brooklands Primary School","nftype","ACC"
203,"E09000011","Greenwich",143210,"Brooklands Primary School","ptfsm6cla1a","29%"
203,"E09000011","Greenwich",143210,"Brooklands Primary School","ptnotfsm6cla1a","71%"
203,"E09000011","Greenwich",143210,"Brooklands Primary School","tealgrp2","4"
203,"E09000011","Greenwich",143210,"Brooklands Primary School","telig","28"
203,"E09000011","Greenwich",143210,"Brooklands Primary School","tfsm6cla1a","8"
203,"E09000011","Greenwich",143210,"Brooklands Primary School","tks1average","18.0"
203,"E09000011","Greenwich",143210,"Brooklands Primary School","tnotfsm6cla1a","20"
203,"E09000011","Greenwich",143210,"Brooklands Primary School","tsenele","0"
203,"E09000011","Greenwich",143210,"Brooklands Primary School","tsenelk","6"
203,"E09000011","Greenwich",143211,"Millennium Primary School","nftype","ACC"
203,"E09000011","Greenwich",143211,"Millennium Primary School","ptfsm6cla1a","43%"
203,"E09000011","Greenwich",143211,"Millennium Primary School","ptnotfsm6cla1a","57%"
203,"E09000011","Greenwich",143211,"Millennium Primary School","tealgrp2","21"
203,"E09000011","Greenwich",143211,"Millennium Primary School","telig","58"
203,"E09000011","Greenwich",143211,"Millennium Primary School","tfsm6cla1a","25"
203,"E09000011","Greenwich",143211,"Millennium Primary School","tks1average","16.8"
203,"E09000011","Greenwich",143211,"Millennium Primary School","tnotfsm6cla1a","33"
203,"E09000011","Greenwich",143211,"Millennium Primary School","tsenele","4"
203,"E09000011","Greenwich",143211,"Millennium Primary School","tsenelk","4"
205,"E09000013","Hammersmith and Fulham",137331,"Ark Conway Primary Academy","nftype","F"
205,"E09000013","Hammersmith and Fulham",137331,"Ark Conway Primary Academy","ptfsm6cla1a","40%"
205,"E09000013","Hammersmith and Fulham",137331,"Ark Conway Primary Academy","ptnotfsm6cla1a","60%"
205,"E09000013","Hammersmith and Fulham",137331,"Ark Conway Primary Academy","tealgrp2","9"
205,"E09000013","Hammersmith and Fulham",137331,"Ark Conway Primary Academy","telig","30"
205,"E09000013","Hammersmith and Fulham",137331,"Ark Conway Primary Academy","tfsm6cla1a","12"
205,"E09000013","Hammersmith and Fulham",137331,"Ark Conway Primary Academy","tks1average","19.5"
205,"E09000013","Hammersmith and Fulham",137331,"Ark Conway Primary Academy","tnotfsm6cla1a","18"
205,"E09000013","Hammersmith and Fulham",137331,"Ark Conway Primary Academy","tsenele","0"
205,"E09000013","Hammersmith and Fulham",137331,"Ark Conway Primary Academy","tsenelk","2"
205,"E09000013","Hammersmith and Fulham",138680,"Ark Bentworth Primary Academy","nftype","ACC"
205,"E09000013","Hammersmith and Fulham",138680,"Ark Bentworth Primary Academy","ptfsm6cla1a","63%"
205,"E09000013","Hammersmith and Fulham",138680,"Ark Bentworth Primary Academy","ptnotfsm6cla1a","37%"
205,"E09000013","Hammersmith and Fulham",138680,"Ark Bentworth Primary Academy","tealgrp2","11"
205,"E09000013","Hammersmith and Fulham",138680,"Ark Bentworth Primary Academy","telig","30"
205,"E09000013","Hammersmith and Fulham",138680,"Ark Bentworth Primary Academy","tfsm6cla1a","19"
205,"E09000013","Hammersmith and Fulham",138680,"Ark Bentworth Primary Academy","tks1average","16.7"
205,"E09000013","Hammersmith and Fulham",138680,"Ark Bentworth Primary Academy","tnotfsm6cla1a","11"
205,"E09000013","Hammersmith and Fulham",138680,"Ark Bentworth Primary Academy","tsenele","1"
205,"E09000013","Hammersmith and Fulham",138680,"Ark Bentworth Primary Academy","tsenelk","0"
205,"E09000013","Hammersmith and Fulham",139820,"Ark Swift Primary Academy","nftype","AC"
205,"E09000013","Hammersmith and Fulham",139820,"Ark Swift Primary Academy","ptfsm6cla1a","54%"
205,"E09000013","Hammersmith and Fulham",139820,"Ark Swift Primary Academy","ptnotfsm6cla1a","46%"
205,"E09000013","Hammersmith and Fulham",139820,"Ark Swift Primary Academy","tealgrp2","27"
205,"E09000013","Hammersmith and Fulham",139820,"Ark Swift Primary Academy","telig","48"
205,"E09000013","Hammersmith and Fulham",139820,"Ark Swift Primary Academy","tfsm6cla1a","26"
205,"E09000013","Hammersmith and Fulham",139820,"Ark Swift Primary Academy","tks1average","15.4"
205,"E09000013","Hammersmith and Fulham",139820,"Ark Swift Primary Academy","tnotfsm6cla1a","22"
205,"E09000013","Hammersmith and Fulham",139820,"Ark Swift Primary Academy","tsenele","0"
205,"E09000013","Hammersmith and Fulham",139820,"Ark Swift Primary Academy","tsenelk","7"
205,"E09000013","Hammersmith and Fulham",140634,"Lena Gardens Primary School","nftype","ACC"
205,"E09000013","Hammersmith and Fulham",140634,"Lena Gardens Primary School","ptfsm6cla1a","SUPP"
205,"E09000013","Hammersmith and Fulham",140634,"Lena Gardens Primary School","ptnotfsm6cla1a","SUPP"
205,"E09000013","Hammersmith and Fulham",140634,"Lena Gardens Primary School","tealgrp2","SUPP"
205,"E09000013","Hammersmith and Fulham",140634,"Lena Gardens Primary School","telig","1"
205,"E09000013","Hammersmith and Fulham",140634,"Lena Gardens Primary School","tfsm6cla1a","SUPP"
205,"E09000013","Hammersmith and Fulham",140634,"Lena Gardens Primary School","tks1average","SUPP"
205,"E09000013","Hammersmith and Fulham",140634,"Lena Gardens Primary School","tnotfsm6cla1a","SUPP"
205,"E09000013","Hammersmith and Fulham",140634,"Lena Gardens Primary School","tsenele","SUPP"
205,"E09000013","Hammersmith and Fulham",140634,"Lena Gardens Primary School","tsenelk","SUPP"
205,"E09000013","Hammersmith and Fulham",141685,"Langford Primary School","nftype","AC"
205,"E09000013","Hammersmith and Fulham",141685,"Langford Primary School","ptfsm6cla1a","81%"
205,"E09000013","Hammersmith and Fulham",141685,"Langford Primary School","ptnotfsm6cla1a","19%"
205,"E09000013","Hammersmith and Fulham",141685,"Langford Primary School","tealgrp2","10"
205,"E09000013","Hammersmith and Fulham",141685,"Langford Primary School","telig","21"
205,"E09000013","Hammersmith and Fulham",141685,"Langford Primary School","tfsm6cla1a","17"
205,"E09000013","Hammersmith and Fulham",141685,"Langford Primary School","tks1average","16.1"
205,"E09000013","Hammersmith and Fulham",141685,"Langford Primary School","tnotfsm6cla1a","4"
205,"E09000013","Hammersmith and Fulham",141685,"Langford Primary School","tsenele","0"
205,"E09000013","Hammersmith and Fulham",141685,"Langford Primary School","tsenelk","2"
205,"E09000013","Hammersmith and Fulham",141902,"Greenside Primary School","nftype","ACC"
205,"E09000013","Hammersmith and Fulham",141902,"Greenside Primary School","ptfsm6cla1a","50%"
205,"E09000013","Hammersmith and Fulham",141902,"Greenside Primary School","ptnotfsm6cla1a","50%"
205,"E09000013","Hammersmith and Fulham",141902,"Greenside Primary School","tealgrp2","6"
205,"E09000013","Hammersmith and Fulham",141902,"Greenside Primary School","telig","26"
205,"E09000013","Hammersmith and Fulham",141902,"Greenside Primary School","tfsm6cla1a","13"
205,"E09000013","Hammersmith and Fulham",141902,"Greenside Primary School","tks1average","16.5"
205,"E09000013","Hammersmith and Fulham",141902,"Greenside Primary School","tnotfsm6cla1a","13"
205,"E09000013","Hammersmith and Fulham",141902,"Greenside Primary School","tsenele","0"
205,"E09000013","Hammersmith and Fulham",141902,"Greenside Primary School","tsenelk","6"
206,"E09000019","Islington",134314,"St Mary Magdalene Academy","nftype","AC"
206,"E09000019","Islington",134314,"St Mary Magdalene Academy","ptfsm6cla1a","45%"
206,"E09000019","Islington",134314,"St Mary Magdalene Academy","ptnotfsm6cla1a","55%"
206,"E09000019","Islington",134314,"St Mary Magdalene Academy","tealgrp2","6"
206,"E09000019","Islington",134314,"St Mary Magdalene Academy","telig","31"
206,"E09000019","Islington",134314,"St Mary Magdalene Academy","tfsm6cla1a","14"
206,"E09000019","Islington",134314,"St Mary Magdalene Academy","tks1average","16.6"
206,"E09000019","Islington",134314,"St Mary Magdalene Academy","tnotfsm6cla1a","17"
206,"E09000019","Islington",134314,"St Mary Magdalene Academy","tsenele","0"
206,"E09000019","Islington",134314,"St Mary Magdalene Academy","tsenelk","7"
207,"E09000020","Kensington and Chelsea",139645,"Ark Brunel Primary Academy","nftype","AC"
207,"E09000020","Kensington and Chelsea",139645,"Ark Brunel Primary Academy","ptfsm6cla1a","49%"
207,"E09000020","Kensington and Chelsea",139645,"Ark Brunel Primary Academy","ptnotfsm6cla1a","51%"
207,"E09000020","Kensington and Chelsea",139645,"Ark Brunel Primary Academy","tealgrp2","29"
207,"E09000020","Kensington and Chelsea",139645,"Ark Brunel Primary Academy","telig","39"
207,"E09000020","Kensington and Chelsea",139645,"Ark Brunel Primary Academy","tfsm6cla1a","19"
207,"E09000020","Kensington and Chelsea",139645,"Ark Brunel Primary Academy","tks1average","16.7"
207,"E09000020","Kensington and Chelsea",139645,"Ark Brunel Primary Academy","tnotfsm6cla1a","20"
207,"E09000020","Kensington and Chelsea",139645,"Ark Brunel Primary Academy","tsenele","1"
207,"E09000020","Kensington and Chelsea",139645,"Ark Brunel Primary Academy","tsenelk","4"
208,"E09000022","Lambeth",137430,"Oasis Academy Johanna","nftype","ACC"
208,"E09000022","Lambeth",137430,"Oasis Academy Johanna","ptfsm6cla1a","55%"
208,"E09000022","Lambeth",137430,"Oasis Academy Johanna","ptnotfsm6cla1a","45%"
208,"E09000022","Lambeth",137430,"Oasis Academy Johanna","tealgrp2","17"
208,"E09000022","Lambeth",137430,"Oasis Academy Johanna","telig","22"
208,"E09000022","Lambeth",137430,"Oasis Academy Johanna","tfsm6cla1a","12"
208,"E09000022","Lambeth",137430,"Oasis Academy Johanna","tks1average","15.0"
208,"E09000022","Lambeth",137430,"Oasis Academy Johanna","tnotfsm6cla1a","10"
208,"E09000022","Lambeth",137430,"Oasis Academy Johanna","tsenele","3"
208,"E09000022","Lambeth",137430,"Oasis Academy Johanna","tsenelk","3"
209,"E09000023","Lewisham",135070,"Haberdashers' Aske's Knights Academy","nftype","AC"
209,"E09000023","Lewisham",135070,"Haberdashers' Aske's Knights Academy","ptfsm6cla1a","51%"
209,"E09000023","Lewisham",135070,"Haberdashers' Aske's Knights Academy","ptnotfsm6cla1a","49%"
209,"E09000023","Lewisham",135070,"Haberdashers' Aske's Knights Academy","tealgrp2","9"
209,"E09000023","Lewisham",135070,"Haberdashers' Aske's Knights Academy","telig","35"
209,"E09000023","Lewisham",135070,"Haberdashers' Aske's Knights Academy","tfsm6cla1a","18"
209,"E09000023","Lewisham",135070,"Haberdashers' Aske's Knights Academy","tks1average","16.7"
209,"E09000023","Lewisham",135070,"Haberdashers' Aske's Knights Academy","tnotfsm6cla1a","17"
209,"E09000023","Lewisham",135070,"Haberdashers' Aske's Knights Academy","tsenele","0"
209,"E09000023","Lewisham",135070,"Haberdashers' Aske's Knights Academy","tsenelk","8"
209,"E09000023","Lewisham",135073,"Haberdashers' Aske's Hatcham College","nftype","AC"
209,"E09000023","Lewisham",135073,"Haberdashers' Aske's Hatcham College","ptfsm6cla1a","32%"
209,"E09000023","Lewisham",135073,"Haberdashers' Aske's Hatcham College","ptnotfsm6cla1a","68%"
209,"E09000023","Lewisham",135073,"Haberdashers' Aske's Hatcham College","tealgrp2","16"
209,"E09000023","Lewisham",135073,"Haberdashers' Aske's Hatcham College","telig","60"
209,"E09000023","Lewisham",135073,"Haberdashers' Aske's Hatcham College","tfsm6cla1a","19"
209,"E09000023","Lewisham",135073,"Haberdashers' Aske's Hatcham College","tks1average","15.9"
209,"E09000023","Lewisham",135073,"Haberdashers' Aske's Hatcham College","tnotfsm6cla1a","41"
209,"E09000023","Lewisham",135073,"Haberdashers' Aske's Hatcham College","tsenele","2"
209,"E09000023","Lewisham",135073,"Haberdashers' Aske's Hatcham College","tsenelk","5"
209,"E09000023","Lewisham",137441,"Tidemill Academy","nftype","ACC"
209,"E09000023","Lewisham",137441,"Tidemill Academy","ptfsm6cla1a","56%"
209,"E09000023","Lewisham",137441,"Tidemill Academy","ptnotfsm6cla1a","44%"
209,"E09000023","Lewisham",137441,"Tidemill Academy","tealgrp2","40"
209,"E09000023","Lewisham",137441,"Tidemill Academy","telig","57"
209,"E09000023","Lewisham",137441,"Tidemill Academy","tfsm6cla1a","32"
209,"E09000023","Lewisham",137441,"Tidemill Academy","tks1average","14.8"
209,"E09000023","Lewisham",137441,"Tidemill Academy","tnotfsm6cla1a","25"
209,"E09000023","Lewisham",137441,"Tidemill Academy","tsenele","4"
209,"E09000023","Lewisham",137441,"Tidemill Academy","tsenelk","11"
210,"E09000028","Southwark",135584,"Ark Globe Academy","nftype","AC"
210,"E09000028","Southwark",135584,"Ark Globe Academy","ptfsm6cla1a","68%"
210,"E09000028","Southwark",135584,"Ark Globe Academy","ptnotfsm6cla1a","32%"
210,"E09000028","Southwark",135584,"Ark Globe Academy","tealgrp2","34"
210,"E09000028","Southwark",135584,"Ark Globe Academy","telig","59"
210,"E09000028","Southwark",135584,"Ark Globe Academy","tfsm6cla1a","40"
210,"E09000028","Southwark",135584,"Ark Globe Academy","tks1average","18.1"
210,"E09000028","Southwark",135584,"Ark Globe Academy","tnotfsm6cla1a","19"
210,"E09000028","Southwark",135584,"Ark Globe Academy","tsenele","1"
210,"E09000028","Southwark",135584,"Ark Globe Academy","tsenelk","7"
210,"E09000028","Southwark",137413,"Harris Primary Academy Peckham Park","nftype","ACC"
210,"E09000028","Southwark",137413,"Harris Primary Academy Peckham Park","ptfsm6cla1a","46%"
210,"E09000028","Southwark",137413,"Harris Primary Academy Peckham Park","ptnotfsm6cla1a","54%"
210,"E09000028","Southwark",137413,"Harris Primary Academy Peckham Park","tealgrp2","30"
210,"E09000028","Southwark",137413,"Harris Primary Academy Peckham Park","telig","52"
210,"E09000028","Southwark",137413,"Harris Primary Academy Peckham Park","tfsm6cla1a","24"
210,"E09000028","Southwark",137413,"Harris Primary Academy Peckham Park","tks1average","16.6"
210,"E09000028","Southwark",137413,"Harris Primary Academy Peckham Park","tnotfsm6cla1a","28"
210,"E09000028","Southwark",137413,"Harris Primary Academy Peckham Park","tsenele","1"
210,"E09000028","Southwark",137413,"Harris Primary Academy Peckham Park","tsenelk","7"
210,"E09000028","Southwark",138270,"Harris Primary Free School Peckham","nftype","F"
210,"E09000028","Southwark",138270,"Harris Primary Free School Peckham","ptfsm6cla1a","74%"
210,"E09000028","Southwark",138270,"Harris Primary Free School Peckham","ptnotfsm6cla1a","26%"
210,"E09000028","Southwark",138270,"Harris Primary Free School Peckham","tealgrp2","25"
210,"E09000028","Southwark",138270,"Harris Primary Free School Peckham","telig","43"
210,"E09000028","Southwark",138270,"Harris Primary Free School Peckham","tfsm6cla1a","32"
210,"E09000028","Southwark",138270,"Harris Primary Free School Peckham","tks1average","16.1"
210,"E09000028","Southwark",138270,"Harris Primary Free School Peckham","tnotfsm6cla1a","11"
210,"E09000028","Southwark",138270,"Harris Primary Free School Peckham","tsenele","0"
210,"E09000028","Southwark",138270,"Harris Primary Free School Peckham","tsenelk","3"
210,"E09000028","Southwark",139907,"Judith Kerr Primary School","nftype","F"
210,"E09000028","Southwark",139907,"Judith Kerr Primary School","ptfsm6cla1a","24%"
210,"E09000028","Southwark",139907,"Judith Kerr Primary School","ptnotfsm6cla1a","76%"
210,"E09000028","Southwark",139907,"Judith Kerr Primary School","tealgrp2","7"
210,"E09000028","Southwark",139907,"Judith Kerr Primary School","telig","21"
210,"E09000028","Southwark",139907,"Judith Kerr Primary School","tfsm6cla1a","5"
210,"E09000028","Southwark",139907,"Judith Kerr Primary School","tks1average","17.7"
210,"E09000028","Southwark",139907,"Judith Kerr Primary School","tnotfsm6cla1a","16"
210,"E09000028","Southwark",139907,"Judith Kerr Primary School","tsenele","0"
210,"E09000028","Southwark",139907,"Judith Kerr Primary School","tsenelk","3"
210,"E09000028","Southwark",141666,"Angel Oak Academy","nftype","AC"
210,"E09000028","Southwark",141666,"Angel Oak Academy","ptfsm6cla1a","56%"
210,"E09000028","Southwark",141666,"Angel Oak Academy","ptnotfsm6cla1a","44%"
210,"E09000028","Southwark",141666,"Angel Oak Academy","tealgrp2","31"
210,"E09000028","Southwark",141666,"Angel Oak Academy","telig","57"
210,"E09000028","Southwark",141666,"Angel Oak Academy","tfsm6cla1a","32"
