"old_la_code","new_la_code","la_name","urn","schname","measure","value","lowerci","upperci"
206,"E09000019","Islington",134314,"St Mary Magdalene Academy","matprog","4.0","2.1","5.9"
206,"E09000019","Islington",134314,"St Mary Magdalene Academy","matprog_fsm6cla1a","3.1","0.3","5.9"
206,"E09000019","Islington",134314,"St Mary Magdalene Academy","matprog_notfsm6cla1a","4.6","2.1","7.2"
206,"E09000019","Islington",134314,"St Mary Magdalene Academy","ptrwm_exp","77%",NA,NA
206,"E09000019","Islington",134314,"St Mary Magdalene Academy","ptrwm_exp_fsm6cla1a","86%",NA,NA
206,"E09000019","Islington",134314,"St Mary Magdalene Academy","ptrwm_exp_notfsm6cla1a","71%",NA,NA
206,"E09000019","Islington",134314,"St Mary Magdalene Academy","readprog","1.1","-1.0","3.3"
206,"E09000019","Islington",134314,"St Mary Magdalene Academy","readprog_fsm6cla1a","0.7","-2.5","3.9"
206,"E09000019","Islington",134314,"St Mary Magdalene Academy","readprog_notfsm6cla1a","1.5","-1.4","4.4"
206,"E09000019","Islington",134314,"St Mary Magdalene Academy","writprog","1.9","-0.1","3.9"
206,"E09000019","Islington",134314,"St Mary Magdalene Academy","writprog_fsm6cla1a","2.1","-0.9","5.1"
206,"E09000019","Islington",134314,"St Mary Magdalene Academy","writprog_notfsm6cla1a","1.8","-0.9","4.5"
209,"E09000023","Lewisham",135070,"Haberdashers' Aske's Knights Academy","matprog","1.4","-1.0","3.9"
209,"E09000023","Lewisham",135070,"Haberdashers' Aske's Knights Academy","matprog_fsm6cla1a","1.7","-2.1","5.4"
209,"E09000023","Lewisham",135070,"Haberdashers' Aske's Knights Academy","matprog_notfsm6cla1a","1.3","-2.1","4.6"
209,"E09000023","Lewisham",135070,"Haberdashers' Aske's Knights Academy","ptrwm_exp","40%",NA,NA
209,"E09000023","Lewisham",135070,"Haberdashers' Aske's Knights Academy","ptrwm_exp_fsm6cla1a","33%",NA,NA
209,"E09000023","Lewisham",135070,"Haberdashers' Aske's Knights Academy","ptrwm_exp_notfsm6cla1a","47%",NA,NA
209,"E09000023","Lewisham",135070,"Haberdashers' Aske's Knights Academy","readprog","-1.9","-4.1","0.3"
209,"E09000023","Lewisham",135070,"Haberdashers' Aske's Knights Academy","readprog_fsm6cla1a","-1.6","-4.4","1.3"
209,"E09000023","Lewisham",135070,"Haberdashers' Aske's Knights Academy","readprog_notfsm6cla1a","-2.4","-5.7","1.0"
209,"E09000023","Lewisham",135070,"Haberdashers' Aske's Knights Academy","writprog","-1.2","-3.2","0.8"
209,"E09000023","Lewisham",135070,"Haberdashers' Aske's Knights Academy","writprog_fsm6cla1a","-2.1","-4.7","0.6"
209,"E09000023","Lewisham",135070,"Haberdashers' Aske's Knights Academy","writprog_notfsm6cla1a","0.1","-3.0","3.2"
209,"E09000023","Lewisham",135073,"Haberdashers' Aske's Hatcham College","matprog","5.4","4.0","6.8"
209,"E09000023","Lewisham",135073,"Haberdashers' Aske's Hatcham College","matprog_fsm6cla1a","6.1","3.6","8.5"
209,"E09000023","Lewisham",135073,"Haberdashers' Aske's Hatcham College","matprog_notfsm6cla1a","5.1","3.4","6.7"
