ChainID,ChainName,URN,JoinedDate,TrustID,TrustName
SP01474,ARCHDIOCESE OF SOUTHWARK,105135,01/09/2005,TR02144,ST PAUL'S ACADEMY LIMITED
SP00057,GRACE FOUNDATION,129342,01/09/2006,TR00883,GRACE ACADEMY
SP00572,THE WHITE HORSE FEDERATION,130247,01/02/2018,TR02468,THE WHITE HORSE FEDERATION
SP00221,ENDEAVOUR ACADEMIES TRUST,130908,01/09/2005,TR01370,ENDEAVOUR ACADEMIES TRUST
SP00197,DIXONS ACADEMIES CHARITABLE TRUST LTD,130909,01/09/2005,TR00671,DIXONS ACADEMIES CHARITABLE TRUST LTD
SP00592,UNITED LEARNING TRUST,130912,01/09/2006,TR02343,UNITED LEARNING TRUST
SP00285,JACK PETCHEY,131062,01/09/2006,TR01640,PETCHEY ACADEMY
SP00799,NORTHERN SCHOOLS TRUST,131065,01/09/2006,TR01530,NORTHERN SCHOOLS TRUST
SP00227,EXILARCH'S FOUNDATION,131262,01/09/2006,TR02454,THE WESTMINSTER ACADEMY (WESTBOURNE GREEN)
SP00591,UBS,131609,06/09/2007,TR00293,"THE BRIDGE ACADEMY, HACKNEY"
SP00257,HARRIS FEDERATION,131747,01/09/2006,TR00968,HARRIS FEDERATION
SP00592,UNITED LEARNING TRUST,131749,01/09/2006,TR02343,UNITED LEARNING TRUST
SP00002,ARK SCHOOLS,131752,01/09/2006,TR00081,ARK SCHOOLS
SP00592,UNITED LEARNING TRUST,131895,01/09/2006,TR02343,UNITED LEARNING TRUST
SP00592,UNITED LEARNING TRUST,131896,01/09/2006,TR02343,UNITED LEARNING TRUST
SP00257,HARRIS FEDERATION,131897,01/09/2006,TR00968,HARRIS FEDERATION
SP00257,HARRIS FEDERATION,132711,01/09/2006,TR00968,HARRIS FEDERATION
SP00592,UNITED LEARNING TRUST,132727,01/09/2006,TR02343,UNITED LEARNING TRUST
SP00238,GATEWAY LEARNING COMMUNITY,133114,01/09/2006,TR00842,GATEWAY LEARNING COMMUNITY
SP00249,GREIG TRUST,133386,01/09/2002,TR00916,GREIG CITY ACADEMY
SP00576,THOMAS TELFORD SCHOOL,133697,01/09/2017,TR01870,THOMAS TELFORD MULTI ACADEMY TRUST
SP00003,ACADEMIES ENTERPRISE TRUST (AET),133768,01/01/2012,TR02344,UNITY CITY ACADEMY TRUST
